"Species","Family","Order","Wing_length","Mass","Habitat","Trophic_level","Trophic_niche","HWI","Raw_CRB","Raw_certainty","CRB","Certainty","CRB_Final","brain_volume_mm3","brain.mass.g","brain_mass_calculated"
"Accipiter_badius","Accipitridae","Accipitriformes",186.7,131.2,"","Carnivore","Vertivore",32.9,0,1,0,1,"0",NA,NA,NA
"Accipiter_bicolor","Accipitridae","Accipitriformes",229.6,287.5,"","Carnivore","Vertivore",24.6,0,1,0,1,"0",NA,NA,NA
"Accipiter_brachyurus","Accipitridae","Accipitriformes",202.2,142,"","Carnivore","Vertivore",31.7,0,1,0,1,"0",NA,NA,NA
"Accipiter_brevipes","Accipitridae","Accipitriformes",217.6,186.5,"","Carnivore","Vertivore",40.2,0,0,0,0,NA,NA,NA,NA
"Accipiter_butleri","Accipitridae","Accipitriformes",166,122,"","Carnivore","Vertivore",25.8,0,0,0,0,NA,NA,NA,NA
"Accipiter_castanilius","Accipitridae","Accipitriformes",163.5,157.5,"","Carnivore","Vertivore",24,0,0,0,0,NA,NA,NA,NA
"Accipiter_cirrocephalus","Accipitridae","Accipitriformes",213,165.7,"","Carnivore","Vertivore",37.8,0,1,0,1,"0",4875.48,2.47604,5.39
"Accipiter_collaris","Accipitridae","Accipitriformes",165.9,97.8,"","Carnivore","Vertivore",30,0,0,0,0,NA,NA,NA,NA
"Accipiter_cooperii","Accipitridae","Accipitriformes",241.2,429.7,"","Carnivore","Vertivore",32.3,0,1,0,1,"0",NA,4.8692,NA
"Accipiter_erythrauchen","Accipitridae","Accipitriformes",191.2,156,"","Carnivore","Vertivore",30.8,0,0,0,0,NA,NA,NA,NA
"Accipiter_erythropus","Accipitridae","Accipitriformes",154.6,111.2,"","Carnivore","Vertivore",27.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_fasciatus","Accipitridae","Accipitriformes",269.9,358.7,"","Carnivore","Vertivore",38.3,0,0,0,0,NA,5009.65,4.662,5.53
"Accipiter_francesiae","Accipitridae","Accipitriformes",155.8,136.8,"","Carnivore","Invertivore",27.8,0,0,0,0,NA,NA,NA,NA
