Species,Family,Order,Wing_length,Mass,Habitat,Trophic_level,Trophic_niche,HWI,Raw_CRB,Raw_certainty,CRB,Certainty,CRB_Final,brain_volume_mm3
Cinnyris_congensis__,Nectariniidae,Passeriformes,62,17.3,Forest,Omnivore,Omnivore,17.7,,,0,0,NA,
Cinnyris_coquerellii__,Nectariniidae,Passeriformes,48,7.9,Shrubland,Omnivore,Omnivore,14.8,,,0,0,NA,
Cinnyris_cupreus__,Nectariniidae,Passeriformes,57,8.9,Shrubland,Herbivore,Nectarivore,15.4,,,0,0,NA,
Cinnyris_dussumieri__,Nectariniidae,Passeriformes,60.1,10.8,Forest,Herbivore,Nectarivore,15.8,,,0,0,NA,
Cinnyris_erythrocercus__,Nectariniidae,Passeriformes,61,8.8,Wetland,Omnivore,Nectarivore,13.2,,,0,0,NA,
Cinnyris_fuelleborni__,Nectariniidae,Passeriformes,53.9,8.2,Forest,Omnivore,Nectarivore,13.8,,,0,0,NA,
Cinnyris_fuscus__,Nectariniidae,Passeriformes,54.9,7.8,Desert,Omnivore,Nectarivore,17.6,,,0,0,NA,
Cinnyris_gertrudis__,Nectariniidae,Passeriformes,60,9.5,Woodland,Omnivore,Omnivore,19.2,,,0,0,NA,
Cinnyris_habessinicus__,Nectariniidae,Passeriformes,63.1,9.5,Shrubland,Herbivore,Omnivore,16.3,,,0,0,NA,
Cinnyris_hellmayri__,Nectariniidae,Passeriformes,63.1,9.5,Shrubland,Herbivore,Omnivore,16.3,,,0,0,NA,
Cinnyris_humbloti__,Nectariniidae,Passeriformes,50.2,6.4,Forest,Omnivore,Omnivore,17.3,,,0,0,NA,
Cinnyris_idenburgi__,Nectariniidae,Passeriformes,53.4,9,Shrubland,Omnivore,Omnivore,17.7,,,0,0,NA,
Cinnyris_johannae__,Nectariniidae,Passeriformes,65.2,13,Forest,Herbivore,Omnivore,16.7,,,0,0,NA,
Cinnyris_jugularis__,Nectariniidae,Passeriformes,53.4,9,Shrubland,Omnivore,Omnivore,17.7,0,0,0,0,NA,
Cinnyris_lotenius__,Nectariniidae,Passeriformes,57,8.8,Forest,Omnivore,Nectarivore,15.4,0,1,0,1,0,
Cinnyris_loveridgei__,Nectariniidae,Passeriformes,56.7,9.8,Forest,Omnivore,Nectarivore,14.1,,,0,0,NA,
Cinnyris_ludovicensis__,Nectariniidae,Passeriformes,61.2,8.7,Forest,Omnivore,Nectarivore,15.7,,,0,0,NA,
Cinnyris_manoensis__,Nectariniidae,Passeriformes,58.6,9.5,Woodland,Omnivore,Omnivore,17,,,0,0,NA,
Cinnyris_mariquensis__,Nectariniidae,Passeriformes,64.6,11.5,Woodland,Omnivore,Nectarivore,19,,,0,0,NA,
Cinnyris_mediocris__,Nectariniidae,Passeriformes,53.1,8.2,Forest,Herbivore,Nectarivore,15.1,,,0,0,NA,
Cinnyris_melanogastrus__,Nectariniidae,Passeriformes,56,7,Woodland,Herbivore,Nectarivore,20,,,0,0,NA,
Cinnyris_minullus__,Nectariniidae,Passeriformes,46,5.7,Forest,Omnivore,Nectarivore,14.4,,,0,0,NA,
Cinnyris_moebii__,Nectariniidae,Passeriformes,64.2,14.6,Forest,Omnivore,Omnivore,16.1,,,0,0,NA,
Cinnyris_moreaui__,Nectariniidae,Passeriformes,52.8,8.2,Forest,Omnivore,Omnivore,13,,,0,0,NA,
Cinnyris_nectarinioides__,Nectariniidae,Passeriformes,52.5,4.8,Shrubland,Omnivore,Nectarivore,13.8,,,0,0,NA,
Cinnyris_neergaardi__,Nectariniidae,Passeriformes,50.8,6.1,Shrubland,Omnivore,Omnivore,13,,,0,0,NA,
Cinnyris_notatus__,Nectariniidae,Passeriformes,64.2,14.6,Forest,Omnivore,Omnivore,16.1,,,0,0,NA,
Cinnyris_osea__,Nectariniidae,Passeriformes,51.9,7.2,Shrubland,Herbivore,Nectarivore,12.5,,,0,0,NA,
Cinnyris_oustaleti__,Nectariniidae,Passeriformes,52.8,8.1,Shrubland,Omnivore,Nectarivore,15.4,,,0,0,NA,
Cinnyris_pembae__,Nectariniidae,Passeriformes,51.4,8.2,Forest,Omnivore,Omnivore,14.5,,,0,0,NA,
Cinnyris_prigoginei__,Nectariniidae,Passeriformes,58,11.1,Shrubland,Omnivore,Omnivore,12.1,,,0,0,NA,
Cinnyris_pulchellus__,Nectariniidae,Passeriformes,56.5,7,Woodland,Herbivore,Nectarivore,18.5,,,0,0,NA,
Cinnyris_regius__,Nectariniidae,Passeriformes,52.7,6.6,Forest,Omnivore,Nectarivore,15.9,,,0,0,NA,
Cinnyris_reichenowi__,Nectariniidae,Passeriformes,61.3,6.8,Forest,Herbivore,Nectarivore,17.3,0,0,0,0,NA,
Cinnyris_rockefelleri__,Nectariniidae,Passeriformes,58,5.3,Forest,Omnivore,Omnivore,12.8,,,0,0,NA,
Cinnyris_rufipennis__,Nectariniidae,Passeriformes,54.2,8.8,Forest,Herbivore,Nectarivore,16.3,,,0,0,NA,
Cinnyris_shelleyi__,Nectariniidae,Passeriformes,58.9,9,Shrubland,Omnivore,Omnivore,17.4,,,0,0,NA,
Cinnyris_solaris__,Nectariniidae,Passeriformes,51.2,9,Forest,Omnivore,Nectarivore,15.4,,,0,0,NA,
Cinnyris_sovimanga__,Nectariniidae,Passeriformes,51.4,7.2,Forest,Omnivore,Nectarivore,14.1,,,0,0,NA,
Cinnyris_stuhlmanni__,Nectariniidae,Passeriformes,63.6,8.8,Shrubland,Omnivore,Nectarivore,13.7,,,0,0,NA,
Cinnyris_superbus__,Nectariniidae,Passeriformes,72.4,16.8,Forest,Herbivore,Omnivore,19.5,,,0,0,NA,
Cinnyris_talatala__,Nectariniidae,Passeriformes,54.1,8.1,Woodland,Omnivore,Nectarivore,15.8,,,0,0,NA,
Cinnyris_tsavoensis__,Nectariniidae,Passeriformes,52.2,6.8,Shrubland,Omnivore,Nectarivore,12.4,,,0,0,NA,
Cinnyris_ursulae__,Nectariniidae,Passeriformes,46.8,6.5,Forest,Herbivore,Omnivore,15.3,,,0,0,NA,
Cinnyris_usambaricus__,Nectariniidae,Passeriformes,51.8,8.2,Forest,Herbivore,Nectarivore,16.3,,,0,0,NA,
Cinnyris_venustus__,Nectariniidae,Passeriformes,50.2,6.6,Woodland,Omnivore,Nectarivore,13.8,,,0,0,NA,
Cinnyris_voeltzkowi__,Nectariniidae,Passeriformes,64.2,14.6,Forest,Omnivore,Omnivore,16.1,,,0,0,NA,
Circaetus_beaudouini,Accipitridae,Accipitriformes,501.8,1500,,Carnivore,Vertivore,43.5,0,0,0,0,NA,
Circaetus_cinerascens,Accipitridae,Accipitriformes,379.5,1126,,Carnivore,Vertivore,30.4,0,0,0,0,NA,
Circaetus_cinereus,Accipitridae,Accipitriformes,517.8,2048,,Carnivore,Vertivore,42.9,0,0,0,0,NA,
Circaetus_fasciolatus,Accipitridae,Accipitriformes,362.2,1013.6,,Carnivore,Vertivore,28,0,0,0,0,NA,
Circaetus_gallicus,Accipitridae,Accipitriformes,537,1699.1,,Carnivore,Vertivore,40.5,1,1,1,1,1,
Circaetus_pectoralis,Accipitridae,Accipitriformes,527.8,1500,,Carnivore,Vertivore,43,1,1,1,1,1,
Circus_aeruginosus,Accipitridae,Accipitriformes,405.7,704.1,,Carnivore,Vertivore,45.6,1,1,1,1,1,
Circus_approximans,Accipitridae,Accipitriformes,406.9,746.2,,Carnivore,Vertivore,44.7,1,1,1,1,1,5480
Circus_assimilis,Accipitridae,Accipitriformes,421.6,558.6,,Carnivore,Vertivore,45,0,0,0,0,NA,
Circus_buffoni,Accipitridae,Accipitriformes,436,507.4,,Carnivore,Vertivore,48.2,0,0,0,0,NA,
Circus_cinereus,Accipitridae,Accipitriformes,344.5,399.7,,Carnivore,Vertivore,44.3,0,0,0,0,NA,
Circus_cyaneus,Accipitridae,Accipitriformes,352.4,393,,Carnivore,Vertivore,44.7,1,1,1,1,1,
Circus_hudsonius,Accipitridae,Accipitriformes,360.9,393,,Carnivore,Vertivore,44.6,1,1,1,1,1,
Circus_macrosceles,Accipitridae,Accipitriformes,420.9,663.6,,Carnivore,Vertivore,47.8,0,0,0,0,NA,
Circus_macrourus,Accipitridae,Accipitriformes,351.2,384.4,,Carnivore,Vertivore,52.4,1,1,1,1,1,
Circus_maillardi,Accipitridae,Accipitriformes,353.2,663.6,,Carnivore,Vertivore,40.2,0,1,0,1,0,
Circus_maurus,Accipitridae,Accipitriformes,352.4,509,,Carnivore,Vertivore,42.6,1,1,1,1,1,
Circus_melanoleucos,Accipitridae,Accipitriformes,352.6,336.3,,Carnivore,Vertivore,50.5,1,1,1,1,1,
Circus_pygargus,Accipitridae,Accipitriformes,362.3,310.8,,Carnivore,Vertivore,52,1,1,1,1,1,
Circus_ranivorus,Accipitridae,Accipitriformes,363.2,507,,Carnivore,Vertivore,44,1,1,1,1,1,
Circus_spilonotus,Accipitridae,Accipitriformes,407.2,558.8,,Carnivore,Vertivore,47.7,1,1,1,1,1,
Circus_spilothorax,Accipitridae,Accipitriformes,377.4,558.8,,Carnivore,Vertivore,35.4,0,0,0,0,NA,
Cissomela_pectoralis,Meliphagidae,Passeriformes,67.2,10.1,Grassland,Herbivore,Nectarivore,21,,,0,0,NA,
Cissopis_leverianus,Thraupidae,Passeriformes,106.3,76,Woodland,Omnivore,Omnivore,13.1,0,0,0,0,NA,
Cissopis_leverianus,Thraupidae,Passeriformes,106.3,76,Woodland,Omnivore,Omnivore,13.1,,,0,0,NA,
Cistothorus_apolinari,Troglodytidae,Passeriformes,54,17.7,Grassland,Carnivore,Invertivore,16.9,,,0,0,NA,
Cistothorus_apolinari__,Troglodytidae,Passeriformes,54,17.7,Grassland,Carnivore,Invertivore,16.9,0,0,0,0,NA,
Cistothorus_meridae,Troglodytidae,Passeriformes,48.4,9.7,Grassland,Carnivore,Invertivore,11.7,,,0,0,NA,
Cistothorus_meridae__,Troglodytidae,Passeriformes,48.4,9.7,Grassland,Carnivore,Invertivore,11.7,0,0,0,0,NA,
Cistothorus_palustris,Troglodytidae,Passeriformes,48.4,10.8,Wetland,Carnivore,Invertivore,20,,,0,0,NA,
Cistothorus_palustris__,Troglodytidae,Passeriformes,48.4,10.8,Wetland,Carnivore,Invertivore,20,0,0,0,0,NA,
Cistothorus_platensis,Troglodytidae,Passeriformes,45.7,9,Grassland,Carnivore,Invertivore,13.4,,,0,0,NA,
Cistothorus_platensis__,Troglodytidae,Passeriformes,45.7,9,Grassland,Carnivore,Invertivore,13.4,0,0,0,0,NA,
Cistothorus_stellaris,Troglodytidae,Passeriformes,45,9,Grassland,Carnivore,Invertivore,13.4,,,0,0,NA,
Cistothorus_stellaris__,Troglodytidae,Passeriformes,45,9,Grassland,Carnivore,Invertivore,13.4,0,0,0,0,NA,
Cittura_cyanotis,Alcedinidae,Coraciiformes,98.2,147,Forest,Carnivore,Invertivore,24.1,0,0,0,0,NA,
Cittura_sanghirensis,Alcedinidae,Coraciiformes,110.7,147,Forest,Carnivore,Invertivore,20.5,0,0,0,0,NA,
Clanga_clanga,Accipitridae,Accipitriformes,510.6,2154.3,,Carnivore,Vertivore,37.9,1,1,1,1,1,
Clanga_hastata,Accipitridae,Accipitriformes,456.5,1359.4,,Carnivore,Vertivore,42,0,0,0,0,NA,
Clanga_pomarina,Accipitridae,Accipitriformes,459.3,1359.4,,Carnivore,Vertivore,40.6,0,0,0,0,NA,
Clibanornis_dendrocolaptoides,Furnariidae,Passeriformes,91.8,48.2,Forest,Carnivore,Invertivore,10.5,,,0,0,NA,
Clibanornis_erythrocephalus,Furnariidae,Passeriformes,91.3,46.5,Woodland,Carnivore,Invertivore,9.1,,,0,0,NA,
Clibanornis_rectirostris,Furnariidae,Passeriformes,98,48,Forest,Carnivore,Invertivore,11.4,,,0,0,NA,
Clibanornis_rubiginosus,Furnariidae,Passeriformes,85.8,39.8,Forest,Carnivore,Invertivore,10.9,0,0,0,0,NA,
Clibanornis_rufipectus,Furnariidae,Passeriformes,84.3,39.8,Forest,Carnivore,Invertivore,10.9,,,0,0,NA,
Clytoceyx_rex,Alcedinidae,Coraciiformes,165.5,242,Forest,Carnivore,Invertivore,19.8,0,0,0,0,NA,
Clytoctantes_alixii,Thamnophilidae,Passeriformes,74,32.5,Forest,Carnivore,Invertivore,12.6,,,0,0,NA,
Clytoctantes_alixii,Thamnophilidae,Passeriformes,74,32.5,Forest,Carnivore,Invertivore,12.6,0,0,0,0,NA,
Clytoctantes_atrogularis,Thamnophilidae,Passeriformes,77.4,31,Forest,Carnivore,Invertivore,10.4,,,0,0,NA,
Clytoctantes_atrogularis,Thamnophilidae,Passeriformes,77.4,31,Forest,Carnivore,Invertivore,10.4,,,0,0,NA,
Clytomyias_insignis,Maluridae,Passeriformes,55.7,12.4,Forest,Carnivore,Invertivore,10.6,,,0,0,NA,
Clytorhynchus_hamlini,Monarchidae,Passeriformes,94.6,34.6,Forest,Carnivore,Invertivore,16,,,0,0,NA,
Clytorhynchus_nigrogularis,Monarchidae,Passeriformes,102.9,55.7,Forest,Carnivore,Invertivore,16.8,,,0,0,NA,
Clytorhynchus_pachycephaloides,Monarchidae,Passeriformes,89.1,26.3,Forest,Carnivore,Invertivore,17.4,,,0,0,NA,
Clytorhynchus_sanctaecrucis,Monarchidae,Passeriformes,90.5,55.7,Forest,Carnivore,Invertivore,18.6,,,0,0,NA,
Clytorhynchus_vitiensis,Monarchidae,Passeriformes,88.7,29.2,Forest,Carnivore,Invertivore,16.7,,,0,0,NA,
Clytospiza_monteiri,Estrildidae,Passeriformes,59.2,14.9,Shrubland,Omnivore,Omnivore,11.4,0,0,0,0,NA,
Cnemarchus_erythropygius,Tyrannidae,Passeriformes,142.7,41,Shrubland,Carnivore,Invertivore,25.9,,,0,0,NA,
Cnemathraupis_aureodorsalis,Thraupidae,Passeriformes,122.6,85,Forest,Omnivore,Frugivore,19.2,0,0,0,0,NA,
Cnemathraupis_aureodorsalis,Thraupidae,Passeriformes,122.6,85,Forest,Omnivore,Frugivore,19.2,,,0,0,NA,
Cnemathraupis_eximia,Thraupidae,Passeriformes,116.7,62.7,Forest,Herbivore,Frugivore,18.3,0,0,0,0,NA,
Cnemathraupis_eximia,Thraupidae,Passeriformes,116.7,62.7,Forest,Herbivore,Frugivore,18.3,,,0,0,NA,
Cnemophilus_loriae,Cnemophilidae,Passeriformes,99.8,84,Forest,Herbivore,Frugivore,4.7,0,0,0,0,NA,
Cnemophilus_macgregorii,Cnemophilidae,Passeriformes,108.5,97.9,Forest,Herbivore,Frugivore,6.2,0,0,0,0,NA,
Cnemophilus_sanguineus,Cnemophilidae,Passeriformes,109.8,97.9,Forest,Herbivore,Frugivore,7.9,0,0,0,0,NA,
Cnemoscopus_chrysogaster,Thraupidae,Passeriformes,77.9,18,Forest,Carnivore,Invertivore,18.9,0,0,0,0,NA,
Cnemoscopus_chrysogaster,Thraupidae,Passeriformes,77.9,18,Forest,Carnivore,Invertivore,18.9,,,0,0,NA,
Cnemoscopus_rubrirostris,Thraupidae,Passeriformes,87.4,18,Forest,Carnivore,Invertivore,16.1,0,0,0,0,NA,
Cnemoscopus_rubrirostris,Thraupidae,Passeriformes,87.4,18,Forest,Carnivore,Invertivore,16.1,,,0,0,NA,
Cnemotriccus_fuscatus,Tyrannidae,Passeriformes,66.7,13.6,Forest,Carnivore,Invertivore,14.1,,,0,0,NA,
Cnipodectes_subbrunneus,Tyrannidae,Passeriformes,85.4,23.2,Forest,Carnivore,Invertivore,14.9,,,0,0,NA,
Cnipodectes_superrufus,Tyrannidae,Passeriformes,116.7,32.3,Forest,Carnivore,Invertivore,18.9,,,0,0,NA,
Coccopygia_bocagei,Estrildidae,Passeriformes,48,6.5,Shrubland,Herbivore,Granivore,18.4,0,0,0,0,NA,
Coccopygia_melanotis,Estrildidae,Passeriformes,48,6.5,Shrubland,Herbivore,Granivore,18.4,0,0,0,0,NA,
Coccopygia_quartinia,Estrildidae,Passeriformes,46.8,6.7,Shrubland,Omnivore,Granivore,16.6,0,0,0,0,NA,
Coccothraustes_coccothraustes,Fringillidae,Passeriformes,102,56.6,Forest,Herbivore,Omnivore,32.9,1,1,1,1,1,"1,569.11"
Coccothraustes_vespertinus,Fringillidae,Passeriformes,109.8,57.3,Forest,Herbivore,Omnivore,34.2,1,1,1,1,1,
Cochoa_azurea,Turdidae,Passeriformes,116,111.5,Forest,Omnivore,Frugivore,21.2,0,0,0,0,NA,
Cochoa_beccarii,Turdidae,Passeriformes,138,111.5,Forest,Herbivore,Frugivore,22.3,0,0,0,0,NA,
Cochoa_purpurea,Turdidae,Passeriformes,140.4,103,Forest,Omnivore,Frugivore,28.4,0,0,0,0,NA,
Cochoa_viridis,Turdidae,Passeriformes,143.3,120,Forest,Omnivore,Frugivore,27.6,0,0,0,0,NA,
Coereba_flaveola,Thraupidae,Passeriformes,54.6,10,Shrubland,Herbivore,Nectarivore,19.2,0,0,0,0,NA,
Coereba_flaveola,Thraupidae,Passeriformes,54.6,10,Shrubland,Herbivore,Nectarivore,19.2,0,1,0,1,0,
Colaptes_aeruginosus,Picidae,Piciformes,129.3,55.8,Forest,Carnivore,Invertivore,21.3,,,0,0,NA,
Colaptes_atriceps,Picidae,Piciformes,125.7,102,Forest,Carnivore,Invertivore,20,0,0,0,0,NA,
Colaptes_atricollis,Picidae,Piciformes,118.5,76.1,Shrubland,Carnivore,Invertivore,18.6,,,0,0,NA,
Colaptes_auratus,Picidae,Piciformes,151.8,131.5,Shrubland,Carnivore,Invertivore,24.8,0,1,0,1,0,
Colaptes_auricularis,Picidae,Piciformes,119.5,65.4,Forest,Omnivore,Omnivore,26.6,0,0,0,0,NA,
Colaptes_cafer,Picidae,Piciformes,166.6,131.5,Shrubland,Carnivore,Invertivore,24.5,,,0,0,NA,
Colaptes_campestris,Picidae,Piciformes,156.3,158,Grassland,Carnivore,Invertivore,17.6,1,1,1,1,1,
Colaptes_campestroides,Picidae,Piciformes,165.8,158,Grassland,Carnivore,Invertivore,23.4,0,0,0,0,NA,
Colaptes_chrysoides,Picidae,Piciformes,138.4,111,Shrubland,Omnivore,Invertivore,27.5,,,0,0,NA,
Colaptes_cinereicapillus,Picidae,Piciformes,167.2,174,Grassland,Carnivore,Invertivore,22.3,,,0,0,NA,
Colaptes_fernandinae,Picidae,Piciformes,143.8,135,Woodland,Carnivore,Invertivore,20.3,,,0,0,NA,
Colaptes_melanochloros,Picidae,Piciformes,134.2,127.3,Forest,Carnivore,Invertivore,13.3,0,0,0,0,NA,
Colaptes_melanolaimus,Picidae,Piciformes,150.4,127.3,Forest,Carnivore,Invertivore,20.6,0,0,0,0,NA,
Colaptes_mexicanoides,Picidae,Piciformes,154.7,131.5,Shrubland,Carnivore,Invertivore,22.4,,,0,0,NA,
Colaptes_pitius,Picidae,Piciformes,151.5,159,Woodland,Carnivore,Invertivore,25,,,0,0,NA,
Colaptes_punctigula,Picidae,Piciformes,108.1,62,Forest,Carnivore,Invertivore,18.6,,,0,0,NA,
Colaptes_rivolii,Picidae,Piciformes,131.1,102,Forest,Carnivore,Invertivore,20.9,0,0,0,0,NA,
Colaptes_rubiginosus,Picidae,Piciformes,123.7,55.8,Forest,Carnivore,Invertivore,24.1,0,0,0,0,NA,
Colaptes_rupicola,Picidae,Piciformes,167.2,174,Grassland,Carnivore,Invertivore,21.3,,,0,0,NA,
Colius_castanotus,Coliidae,Coliiformes,95.6,56.6,Woodland,Herbivore,Frugivore,27,0,0,0,0,NA,
Colius_colius,Coliidae,Coliiformes,86.9,41.4,Shrubland,Herbivore,Frugivore,29.4,1,1,1,1,1,
Colius_leucocephalus,Coliidae,Coliiformes,88,35.8,Shrubland,Herbivore,Frugivore,27.6,0,0,0,0,NA,
Colius_striatus,Coliidae,Coliiformes,94.8,51.1,Shrubland,Herbivore,Frugivore,24.4,1,1,1,1,1,
Colluricincla_boweri,Pachycephalidae,Passeriformes,103.1,43.8,Forest,Carnivore,Invertivore,18.3,,,0,0,NA,
Colluricincla_harmonica,Pachycephalidae,Passeriformes,123.2,65.8,Forest,Carnivore,Invertivore,19.2,,,0,0,NA,
Colluricincla_megarhyncha,Pachycephalidae,Passeriformes,93.1,32.3,Forest,Carnivore,Invertivore,14.9,,,0,0,NA,
Colluricincla_tenebrosa,Pachycephalidae,Passeriformes,95.8,46,Forest,Carnivore,Invertivore,12.7,,,0,0,NA,
Colluricincla_woodwardi,Pachycephalidae,Passeriformes,123.2,54.5,Rock,Carnivore,Invertivore,13.9,,,0,0,NA,
Colonia_colonus,Tyrannidae,Passeriformes,80.8,18.3,Forest,Carnivore,Invertivore,18.9,,,0,0,NA,
Colorhamphus_parvirostris,Tyrannidae,Passeriformes,61.3,10.6,Forest,Carnivore,Invertivore,18.2,,,0,0,NA,
Compsothraupis_loricata,Thraupidae,Passeriformes,114.2,72.5,Forest,Carnivore,Invertivore,24.4,0,0,0,0,NA,
Compsothraupis_loricata,Thraupidae,Passeriformes,114.2,72.5,Forest,Carnivore,Invertivore,24.4,,,0,0,NA,
Conioptilon_mcilhennyi,Cotingidae,Passeriformes,145.8,90,Forest,Herbivore,Frugivore,18.4,0,0,0,0,NA,
Conirostrum_albifrons,Thraupidae,Passeriformes,71,14.9,Forest,Carnivore,Invertivore,21.7,0,0,0,0,NA,
Conirostrum_albifrons,Thraupidae,Passeriformes,71,14.9,Forest,Carnivore,Invertivore,21.7,,,0,0,NA,
Conirostrum_bicolor,Thraupidae,Passeriformes,62.1,10.5,Woodland,Carnivore,Invertivore,20.2,0,0,0,0,NA,
Conirostrum_bicolor,Thraupidae,Passeriformes,62.1,10.5,Woodland,Carnivore,Invertivore,20.2,,,0,0,NA,
Conirostrum_binghami,Thraupidae,Passeriformes,86,25,Forest,Carnivore,Invertivore,23.5,0,0,0,0,NA,
Conirostrum_binghami,Thraupidae,Passeriformes,86,25,Forest,Carnivore,Invertivore,23.5,,,0,0,NA,
Conirostrum_cinereum,Thraupidae,Passeriformes,61.9,8.8,Shrubland,Omnivore,Invertivore,20.7,0,0,0,0,NA,
Conirostrum_cinereum,Thraupidae,Passeriformes,61.9,8.8,Shrubland,Omnivore,Invertivore,20.7,,,0,0,NA,
Conirostrum_ferrugineiventre,Thraupidae,Passeriformes,68.2,11.5,Forest,Carnivore,Invertivore,22.7,0,0,0,0,NA,
Conirostrum_ferrugineiventre,Thraupidae,Passeriformes,68.2,11.5,Forest,Carnivore,Invertivore,22.7,,,0,0,NA,
Conirostrum_fraseri,Thraupidae,Passeriformes,59.7,8.8,Shrubland,Omnivore,Invertivore,15.9,0,0,0,0,NA,
Conirostrum_fraseri,Thraupidae,Passeriformes,59.7,8.8,Shrubland,Omnivore,Invertivore,15.9,,,0,0,NA,
Conirostrum_leucogenys,Thraupidae,Passeriformes,53.8,7,Forest,Omnivore,Invertivore,22.1,0,0,0,0,NA,
Conirostrum_leucogenys,Thraupidae,Passeriformes,53.8,7,Forest,Omnivore,Invertivore,22.1,,,0,0,NA,
Conirostrum_margaritae,Thraupidae,Passeriformes,59.8,9.7,Forest,Carnivore,Invertivore,20.4,0,0,0,0,NA,
Conirostrum_margaritae,Thraupidae,Passeriformes,59.8,9.7,Forest,Carnivore,Invertivore,20.4,,,0,0,NA,
Conirostrum_rufum,Thraupidae,Passeriformes,63.1,11,Shrubland,Carnivore,Invertivore,16.7,0,0,0,0,NA,
Conirostrum_rufum,Thraupidae,Passeriformes,63.1,11,Shrubland,Carnivore,Invertivore,16.7,,,0,0,NA,
Conirostrum_sitticolor,Thraupidae,Passeriformes,66.9,11.9,Forest,Carnivore,Invertivore,20.7,0,0,0,0,NA,
Conirostrum_sitticolor,Thraupidae,Passeriformes,66.9,11.9,Forest,Carnivore,Invertivore,20.7,,,0,0,NA,
Conirostrum_speciosum,Thraupidae,Passeriformes,55.8,8.8,Forest,Carnivore,Invertivore,22.1,0,0,0,0,NA,
Conirostrum_speciosum,Thraupidae,Passeriformes,55.8,8.8,Forest,Carnivore,Invertivore,22.1,,,0,0,NA,
Conirostrum_tamarugense,Thraupidae,Passeriformes,63.2,10.5,Forest,Carnivore,Invertivore,20.5,0,0,0,0,NA,
Conirostrum_tamarugense,Thraupidae,Passeriformes,63.2,10.5,Forest,Carnivore,Invertivore,20.5,,,0,0,NA,
Conopias_albovittatus,Tyrannidae,Passeriformes,81.7,24.4,Forest,Carnivore,Invertivore,21.6,,,0,0,NA,
Conopias_cinchoneti,Tyrannidae,Passeriformes,83.4,25,Forest,Omnivore,Invertivore,19.4,,,0,0,NA,
Conopias_parvus,Tyrannidae,Passeriformes,81.1,21,Forest,Carnivore,Invertivore,19.5,,,0,0,NA,
Conopias_trivirgatus,Tyrannidae,Passeriformes,65,21,Forest,Carnivore,Invertivore,19.1,,,0,0,NA,
Conopophaga_ardesiaca,Conopophagidae,Passeriformes,70.8,26.3,Forest,Carnivore,Invertivore,13.9,0,0,0,0,NA,
Conopophaga_aurita,Conopophagidae,Passeriformes,68.7,26.3,Forest,Carnivore,Invertivore,14.2,0,0,0,0,NA,
Conopophaga_castaneiceps,Conopophagidae,Passeriformes,74.4,27,Forest,Carnivore,Invertivore,11.8,0,0,0,0,NA,
Conopophaga_cearae,Conopophagidae,Passeriformes,69.6,22,Forest,Carnivore,Invertivore,8.8,0,0,0,0,NA,
Conopophaga_lineata,Conopophagidae,Passeriformes,70,25.2,Forest,Carnivore,Invertivore,11,0,0,0,0,NA,
Conopophaga_melanogaster,Conopophagidae,Passeriformes,79.2,42.5,Forest,Carnivore,Invertivore,11.8,0,0,0,0,NA,
Conopophaga_melanops,Conopophagidae,Passeriformes,65.2,20.1,Forest,Carnivore,Invertivore,13.4,0,0,0,0,NA,
Conopophaga_peruviana,Conopophagidae,Passeriformes,65.6,23,Forest,Carnivore,Invertivore,17.1,0,0,0,0,NA,
Conopophaga_roberti,Conopophagidae,Passeriformes,69.9,20.8,Forest,Carnivore,Invertivore,10.2,0,0,0,0,NA,
Conopophaga_snethlageae,Conopophagidae,Passeriformes,67.2,26.3,Forest,Carnivore,Invertivore,14.2,0,0,0,0,NA,
Conopophila_albogularis,Meliphagidae,Passeriformes,65.9,11.8,Forest,Omnivore,Invertivore,18.8,,,0,0,NA,
Conopophila_rufogularis,Meliphagidae,Passeriformes,69.8,10.8,Woodland,Omnivore,Invertivore,18.8,,,0,0,NA,
Conopophila_whitei,Meliphagidae,Passeriformes,61.9,9.8,Woodland,Carnivore,Invertivore,16.5,0,0,0,0,NA,
Conostoma_aemodium,Sylviidae,Passeriformes,123.3,84,Shrubland,Herbivore,Omnivore,6.6,,,0,0,NA,
Conostoma_aemodium__,Sylviidae,Passeriformes,123.3,84,Shrubland,Herbivore,Omnivore,6.6,,,0,0,NA,
Conothraupis_mesoleuca,Thraupidae,Passeriformes,65.3,15.3,NA,Carnivore,Invertivore,15.2,0,0,0,0,NA,
Conothraupis_mesoleuca,Thraupidae,Passeriformes,65.3,15.3,NA,Carnivore,Invertivore,15.2,,,0,0,NA,
Conothraupis_speculigera,Thraupidae,Passeriformes,75.8,25,Woodland,Carnivore,Invertivore,22.1,0,0,0,0,NA,
Conothraupis_speculigera,Thraupidae,Passeriformes,75.8,25,Woodland,Carnivore,Invertivore,22.1,,,0,0,NA,
Contopus_albogularis,Tyrannidae,Passeriformes,61.2,9.6,Forest,Carnivore,Invertivore,22.4,,,0,0,NA,
Contopus_bogotensis,Tyrannidae,Passeriformes,70.8,11.6,Forest,Carnivore,Invertivore,28.3,,,0,0,NA,
Contopus_caribaeus,Tyrannidae,Passeriformes,72.5,10.5,Forest,Carnivore,Invertivore,23.3,,,0,0,NA,
Contopus_cinereus,Tyrannidae,Passeriformes,70.3,11.6,Forest,Carnivore,Invertivore,22.1,,,0,0,NA,
