Species,Family,Order,Wing_length,Mass,Habitat,Trophic_level,Trophic_niche,HWI,Raw_CRB,Raw_certainty,CRB,Certainty,CRB_Final,brain_volume_mm3
Accipiter_soloensis,Accipitridae,Accipitriformes,187.8,164.8,,Carnivore,Vertivore,39,1,1,1,1,1,
Accipiter_striatus,Accipitridae,Accipitriformes,181.6,130.6,,Carnivore,Vertivore,30.7,0,1,0,1,0,"4,179.30"
Accipiter_superciliosus,Accipitridae,Accipitriformes,146.4,96.4,,Carnivore,Vertivore,26.9,0,0,0,0,NA,
Accipiter_sylvestris,Accipitridae,Accipitriformes,206.4,326.1,,Carnivore,Vertivore,32,0,0,0,0,NA,
Accipiter_tachiro,Accipitridae,Accipitriformes,217.4,290.2,,Carnivore,Vertivore,25.7,0,0,0,0,NA,
Accipiter_toussenelii,Accipitridae,Accipitriformes,189,249.3,,Carnivore,Vertivore,24.4,0,0,0,0,NA,
Accipiter_trinotatus,Accipitridae,Accipitriformes,162.9,146,,Carnivore,Vertivore,27.2,0,0,0,0,NA,
Accipiter_trivirgatus,Accipitridae,Accipitriformes,216.2,265,,Carnivore,Vertivore,23,0,0,0,0,NA,
Accipiter_virgatus,Accipitridae,Accipitriformes,167.7,117,,Carnivore,Vertivore,27.4,0,0,0,0,NA,
Acridotheres_albocinctus,Sturnidae,Passeriformes,125.8,98.9,Grassland,Omnivore,Omnivore,25.3,,,0,0,NA,
Acridotheres_burmannicus,Sturnidae,Passeriformes,113.8,89,Grassland,Omnivore,Omnivore,26.9,,,0,0,NA,
Acridotheres_cinereus,Sturnidae,Passeriformes,125.9,98.9,Grassland,Omnivore,Omnivore,23.5,,,0,0,NA,
Acridotheres_cristatellus,Sturnidae,Passeriformes,134,116.3,Grassland,Omnivore,Omnivore,24.1,1,1,1,1,1,
Acridotheres_fuscus,Sturnidae,Passeriformes,123.6,82.8,Woodland,Omnivore,Omnivore,24.7,,,0,0,NA,
Acridotheres_ginginianus,Sturnidae,Passeriformes,120.2,72,Grassland,Omnivore,Omnivore,24.3,1,1,1,1,1,
Acridotheres_grandis,Sturnidae,Passeriformes,134.6,98.9,Grassland,Omnivore,Invertivore,24.9,1,1,1,1,1,
Acridotheres_javanicus,Sturnidae,Passeriformes,122.6,93.5,Grassland,Omnivore,Invertivore,21.3,1,1,1,1,1,
Acridotheres_leucocephalus,Sturnidae,Passeriformes,113.8,89,Grassland,Omnivore,Omnivore,26.9,,,0,0,NA,
Acridotheres_melanopterus,Sturnidae,Passeriformes,124.2,89,Woodland,Herbivore,Omnivore,22.9,1,1,1,1,1,
Acridotheres_tertius,Sturnidae,Passeriformes,124.2,89,Grassland,Omnivore,Omnivore,22.9,,,0,0,NA,
Acridotheres_tricolor,Sturnidae,Passeriformes,124.2,89,Grassland,Omnivore,Omnivore,22.9,,,0,0,NA,
Acridotheres_tristis,Sturnidae,Passeriformes,139.8,116.4,Human Modified,Carnivore,Omnivore,23.6,1,1,1,1,1,
Acritillas_indica,Pycnonotidae,Passeriformes,88.2,30.6,Forest,Herbivore,Omnivore,15.7,0,0,0,0,NA,
Acrobatornis_fonsecai,Furnariidae,Passeriformes,62.9,13.7,Forest,Carnivore,Invertivore,21.2,,,0,0,NA,
Acropternis_orthonyx,Rhinocryptidae,Passeriformes,94.8,89.9,Forest,Carnivore,Invertivore,5.5,,,0,0,NA,
Actenoides_bougainvillei,Alcedinidae,Coraciiformes,129,188,Forest,Carnivore,Invertivore,18.9,0,0,0,0,NA,
Actenoides_capucinus,Alcedinidae,Coraciiformes,147.7,150,Forest,Carnivore,Invertivore,19.2,0,0,0,0,NA,
Actenoides_concretus,Alcedinidae,Coraciiformes,110.8,73.5,Forest,Carnivore,Invertivore,21.5,0,0,0,0,NA,
Actenoides_excelsus,Alcedinidae,Coraciiformes,126.5,188,Forest,Carnivore,Invertivore,18.1,0,0,0,0,NA,
Actenoides_hombroni,Alcedinidae,Coraciiformes,120.4,117,Forest,Carnivore,Invertivore,22.5,0,0,0,0,NA,
Actenoides_lindsayi,Alcedinidae,Coraciiformes,106,92.8,Forest,Carnivore,Invertivore,20.1,0,0,0,0,NA,
Actenoides_monachus,Alcedinidae,Coraciiformes,140.4,150,Forest,Carnivore,Invertivore,19.1,0,0,0,0,NA,
Actenoides_princeps,Alcedinidae,Coraciiformes,113.1,105,Forest,Carnivore,Invertivore,23,0,0,0,0,NA,
Actenoides_regalis,Alcedinidae,Coraciiformes,115,105,Forest,Carnivore,Invertivore,23,0,0,0,0,NA,
Actinodura_egertoni,Leiotrichidae,Passeriformes,85,36,Shrubland,Omnivore,Invertivore,10.8,,,0,0,NA,
Actinodura_radcliffei,Leiotrichidae,Passeriformes,89,38.4,Forest,Carnivore,Invertivore,7.8,,,0,0,NA,
Actinodura_ramsayi,Leiotrichidae,Passeriformes,88.5,38.4,Forest,Carnivore,Invertivore,7.2,,,0,0,NA,
Actinodura_sodangorum,Leiotrichidae,Passeriformes,85.5,38.4,Forest,Carnivore,Invertivore,15.2,,,0,0,NA,
Aegolius_acadicus,Strigidae,Strigiformes,135.2,100.7,Forest,Carnivore,Vertivore,29.8,0,1,0,1,0,"2,857.14"
Aegolius_funereus,Strigidae,Strigiformes,169.1,137.2,Forest,Carnivore,Vertivore,31.5,0,1,0,1,0,
Aegolius_harrisii,Strigidae,Strigiformes,150.1,120,Forest,Carnivore,Vertivore,27.1,0,0,0,0,NA,
Aegolius_ridgwayi,Strigidae,Strigiformes,138.3,80,Forest,Carnivore,Vertivore,24.9,,,0,0,NA,
Aegypius_monachus,Accipitridae,Accipitriformes,734.2,9320.6,,Scavenger,Scavenger,41.1,1,1,1,1,1,"23,946.24"
Aethopyga_bella,Nectariniidae,Passeriformes,41.4,4,Forest,Omnivore,Omnivore,15.8,,,0,0,NA,
Aethopyga_boltoni,Nectariniidae,Passeriformes,49.4,7.1,Forest,Omnivore,Omnivore,16.9,0,1,0,1,0,
Aethopyga_christinae,Nectariniidae,Passeriformes,47.8,5.2,Forest,Herbivore,Omnivore,18.2,,,0,0,NA,
Aethopyga_duyvenbodei,Nectariniidae,Passeriformes,53.1,6,Forest,Omnivore,Omnivore,19,,,0,0,NA,
Aethopyga_eximia,Nectariniidae,Passeriformes,53.3,5.2,Forest,Omnivore,Omnivore,14.2,,,0,0,NA,
Aethopyga_flagrans,Nectariniidae,Passeriformes,45.9,6.7,Forest,Omnivore,Nectarivore,13.7,,,0,0,NA,
Aethopyga_gouldiae,Nectariniidae,Passeriformes,54.5,5,Forest,Omnivore,Nectarivore,21.1,0,0,0,0,NA,
Aethopyga_guimarasensis,Nectariniidae,Passeriformes,45.9,6.7,Forest,Omnivore,Nectarivore,13.7,,,0,0,NA,
Aethopyga_ignicauda,Nectariniidae,Passeriformes,55.4,8.2,Forest,Omnivore,Nectarivore,16,,,0,0,NA,
Aethopyga_latouchii,Nectariniidae,Passeriformes,47.8,5.2,Forest,Herbivore,Omnivore,20.6,,,0,0,NA,
Aethopyga_linaraborae,Nectariniidae,Passeriformes,52,7.2,Forest,Omnivore,Nectarivore,15.8,,,0,0,NA,
Aethopyga_magnifica,Nectariniidae,Passeriformes,50.4,9.3,Forest,Herbivore,Nectarivore,17.4,,,0,0,NA,
Aethopyga_mystacalis,Nectariniidae,Passeriformes,46.8,6,Forest,Omnivore,Nectarivore,15.7,,,0,0,NA,
Aethopyga_nipalensis,Nectariniidae,Passeriformes,49.8,6.9,Forest,Omnivore,Nectarivore,18.3,,,0,0,NA,
Aethopyga_primigenia__,Nectariniidae,Passeriformes,50.6,7,Forest,Omnivore,Nectarivore,15.8,,,0,0,NA,
Aethopyga_pulcherrima__,Nectariniidae,Passeriformes,46.1,6.2,Forest,Omnivore,Nectarivore,16.6,,,0,0,NA,
Aethopyga_saturata__,Nectariniidae,Passeriformes,51.3,5.3,Forest,Herbivore,Nectarivore,16.2,,,0,0,NA,
Aethopyga_shelleyi__,Nectariniidae,Passeriformes,46,4,Forest,Omnivore,Nectarivore,15.6,,,0,0,NA,
Aethopyga_siparaja__,Nectariniidae,Passeriformes,50.4,6.7,Forest,Herbivore,Nectarivore,17.4,,,0,0,NA,
Aethopyga_temminckii__,Nectariniidae,Passeriformes,51,6,Forest,Omnivore,Nectarivore,16.2,,,0,0,NA,
Aethopyga_vigorsii__,Nectariniidae,Passeriformes,57.5,6.7,Forest,Herbivore,Nectarivore,15.6,,,0,0,NA,
Agapornis_canus,Psittacidae,Psittaciformes,92,30,Forest,Herbivore,Omnivore,45.2,1,1,1,1,1,
Agapornis_fischeri,Psittacidae,Psittaciformes,93,48.3,Woodland,Herbivore,Granivore,40.4,0,1,0,1,0,"1,927.88"
Agapornis_lilianae,Psittacidae,Psittaciformes,89.4,37.3,Woodland,Herbivore,Granivore,37,1,1,1,1,1,
Agapornis_nigrigenis,Psittacidae,Psittaciformes,92.8,40.5,Woodland,Herbivore,Granivore,42.5,1,1,1,1,1,
Agapornis_personatus,Psittacidae,Psittaciformes,95.2,52.4,Shrubland,Herbivore,Granivore,41.3,0,1,0,1,0,"2,786.09"
Agapornis_pullarius,Psittacidae,Psittaciformes,90.4,39.3,Woodland,Herbivore,Granivore,39.4,1,1,1,1,1,
Agapornis_roseicollis,Psittacidae,Psittaciformes,100.8,53.8,Shrubland,Herbivore,Granivore,40.7,1,1,1,1,1,"2,008.01"
Agapornis_swindernianus,Psittacidae,Psittaciformes,92.6,40,Forest,Herbivore,Omnivore,41.3,0,0,0,0,NA,
Agapornis_taranta,Psittacidae,Psittaciformes,100.4,57.5,Forest,Herbivore,Granivore,38.6,1,1,1,1,1,
Agelaioides_badius,Icteridae,Passeriformes,93.5,45.3,Forest,Omnivore,Omnivore,18.1,,,0,0,NA,
Agelaioides_fringillarius,Icteridae,Passeriformes,87.9,45.3,Forest,Omnivore,Omnivore,15.5,,,0,0,NA,
Agelaius_assimilis,Icteridae,Passeriformes,93.7,47.7,Wetland,Omnivore,Omnivore,22.9,1,1,1,1,1,
Agelaius_humeralis,Icteridae,Passeriformes,112.8,36.3,Shrubland,Omnivore,Omnivore,24.8,,,0,0,NA,
Agelaius_phoeniceus,Icteridae,Passeriformes,118,50.8,Wetland,Herbivore,Granivore,24,1,1,1,1,1,"1,063.30"
Agelaius_tricolor,Icteridae,Passeriformes,113.2,57.9,Wetland,Omnivore,Invertivore,31.2,1,1,1,1,1,
Agelaius_xanthomus,Icteridae,Passeriformes,101.2,38.4,Wetland,Omnivore,Invertivore,21,1,1,1,1,1,
Agelasticus_cyanopus,Icteridae,Passeriformes,87.8,37.2,Wetland,Omnivore,Omnivore,15.3,,,0,0,NA,
Agelasticus_thilius,Icteridae,Passeriformes,93.4,31.5,Wetland,Carnivore,Invertivore,18.3,,,0,0,NA,
Agelasticus_xanthophthalmus,Icteridae,Passeriformes,91.2,45.1,Wetland,Carnivore,Invertivore,16.1,,,0,0,NA,
Agraphospiza_rubescens,Fringillidae,Passeriformes,76.9,19,Forest,Herbivore,Granivore,27.7,,,0,0,NA,
Agricola_infuscatus,Muscicapidae,Passeriformes,105.1,32.4,Grassland,Carnivore,Invertivore,25.7,,,0,0,NA,
Agricola_pallidus,Muscicapidae,Passeriformes,89.9,23.6,Woodland,Carnivore,Invertivore,19,,,0,0,NA,
Agriornis_albicauda,Tyrannidae,Passeriformes,141.3,53,Shrubland,Carnivore,Vertivore,24.9,,,0,0,NA,
Agriornis_lividus,Tyrannidae,Passeriformes,127.7,99.1,Shrubland,Carnivore,Vertivore,21.5,,,0,0,NA,
